,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
0,132957,HB1,HB1,Amend Amt Of Base Student Allocation,"An Act relating to the base student allocation used in the formula for state funding of public education; providing for an effective date by amending the effective dates of secs. 9 and 10, ch. 9, SLA 2008; and providing for an effective date.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB1.json,1,2009-01-20,https://www.legis.state.ak.us/PDF/26/Bills/HB0001A.PDF
1,132966,HB10,HB10,Municipal Tax Exemptions,An Act relating to mandatory exemptions from municipal property taxes for certain assets of the Alaska Industrial Development and Export Authority and for property owned by certain private colleges or universities; relating to optional exemptions from municipal property taxes for certain residential property; and providing for an effective date.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB10.json,4,2010-07-09,https://www.legis.state.ak.us/PDF/26/Bills/HB0010Z.PDF
2,133056,HB100,HB100,"Joseph C Williams, Sr., Coastal Trail","An Act relating to the Joseph C. Williams, Sr., Coastal Trail.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB100.json,4,2009-04-01,https://www.legis.state.ak.us/PDF/26/Bills/HB0100Z.PDF
3,133057,HB101,HB101,Exemptions: Life Insurance; Annuities,An Act increasing the value of life insurance and annuity contracts that is exempt from levy to satisfy a debt.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB101.json,4,2010-07-09,https://www.legis.state.ak.us/PDF/26/Bills/HB0101Z.PDF
4,133058,HB102,HB102,Uniform Commercial Code/liens/contracts,"An Act relating to the Uniform Commercial Code, to the general provisions of the Uniform Commercial Code, to documents of title under the Uniform Commercial Code, to the Uniform Electronic Transactions Act, to lease-purchases of personal property, to the contractual duty to act fairly and in good faith, and to carrier, warehouse, and livestock care liens; amending Rules 403 and 902, Alaska Rules of Evidence; and providing for an effective date.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB102.json,4,2009-08-05,https://www.legis.state.ak.us/PDF/26/Bills/HB0102Z.PDF
5,133059,HB103,HB103,Appointment Of Us Senators,An Act relating to the temporary appointment of a United States senator.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB103.json,1,2009-01-30,https://www.legis.state.ak.us/PDF/26/Bills/HB0103A.PDF
6,133060,HB104,HB104,Workers Comp. Medical Treatment Fees,An Act adjusting certain fees for treatment or services under the Alaska Workers' Compensation Act to reflect changes in the Consumer Price Index; and providing for an effective date.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB104.json,4,2009-04-01,https://www.legis.state.ak.us/PDF/26/Bills/HB0104Z.PDF
7,133061,HB105,HB105,Step Program,An Act relating to the state training and employment program; and providing for an effective date.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB105.json,4,2009-08-05,https://www.legis.state.ak.us/PDF/26/Bills/HB0105Z.PDF
8,133062,HB106,HB106,Village Public Safety Officers,"An Act relating to grants to nonprofit regional corporations, and, in certain situations, to municipalities with populations of less than 10,000, for village public safety officers in rural areas; defining 'rural area' for the purpose of the village public safety officer program; and authorizing municipalities to accept grants under, and contract with respect to, the village public safety officer program.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB106.json,4,2009-08-05,https://www.legis.state.ak.us/PDF/26/Bills/HB0106Z.PDF
9,133063,HB107,HB107,Internet Access Authority/task Force,An Act establishing the Alaska Internet Access Authority and the Alaska Broadband Task Force; and providing for an effective date.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB107.json,1,2009-02-02,https://www.legis.state.ak.us/PDF/26/Bills/HB0107A.PDF
10,133064,HB108,HB108,Prop. Foreclosure/execution/trust Deeds,"An Act relating to real property foreclosures, to the sale of property on execution, and to deeds of trust.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB108.json,4,2010-07-09,https://www.legis.state.ak.us/PDF/26/Bills/HB0108Z.PDF
11,133065,HB109,HB109,Educ. Loans: Supplemental & Family,An Act relating to eligibility for the Alaska supplemental education loan program and to the interest rate for a loan made under the Alaska family education loan program; and providing for an effective date.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB109.json,4,2009-08-05,https://www.legis.state.ak.us/PDF/26/Bills/HB0109Z.PDF
12,132967,HB11,HB11,Interpretation Of Oil & Gas Lease,An Act requiring state oil and gas leases to be construed in favor of the state and against the interpretation offered by the person challenging the state's interpretation of the lease.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB11.json,1,2009-01-20,https://www.legis.state.ak.us/PDF/26/Bills/HB0011A.PDF
13,133066,HB110,HB110,Psychologists' Licensing & Practice,An Act relating to the practice and licensing of psychologists.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB110.json,4,2010-07-09,https://www.legis.state.ak.us/PDF/26/Bills/HB0110Z.PDF
14,133067,HB111,HB111,Pers Membership Payments To Retiree Org.,An Act relating to voluntary deduction of dues for membership in certain retiree organizations; and providing for an effective date.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB111.json,1,2009-02-04,https://www.legis.state.ak.us/PDF/26/Bills/HB0111A.PDF
15,133068,HB112,HB112,Board Of Forestry; Registry Of Foresters,"An Act providing for establishment and maintenance by the Department of Commerce, Community, and Economic Development of a registry of professional foresters; and relating to the membership of the Board of Forestry.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB112.json,1,2009-02-04,https://www.legis.state.ak.us/PDF/26/Bills/HB0112A.PDF
16,133069,HB113,HB113,Supplemental/capital/other Appropriations,"An Act making supplemental appropriations, capital appropriations, and other appropriations; amending appropriations; making appropriations to capitalize funds; and providing for an effective date.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB113.json,4,2009-08-05,https://www.legis.state.ak.us/PDF/26/Bills/HB0113Z.PDF
17,133070,HB114,HB114,State Trans Facility For Emergency Aid,An Act relating to availability of state transportation facilities and state-owned or state-operated transportation modes for delivering compassionate aid.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB114.json,4,2010-07-09,https://www.legis.state.ak.us/PDF/26/Bills/HB0114Z.PDF
18,133071,HB115,HB115,Permanent Absentee Voting,An Act establishing a permanent absentee voting option for qualified voters; and providing for an effective date.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB115.json,1,2009-02-04,https://www.legis.state.ak.us/PDF/26/Bills/HB0115B.PDF
19,133072,HB116,HB116,Iditarod Registration Plates,An Act relating to Iditarod finisher special request license plates.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB116.json,1,2009-02-06,https://www.legis.state.ak.us/PDF/26/Bills/HB0116A.PDF
20,133073,HB117,HB117,Board Of Fisheries Meeting Location,An Act relating to locations of the meetings of the Board of Fisheries.,AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB117.json,1,2009-02-06,https://www.legis.state.ak.us/PDF/26/Bills/HB0117A.PDF
21,133074,HB118,HB118,Medical Assistance Eligibility,"An Act expanding, and relating to advertising about, medical assistance coverage for eligible children and pregnant women; relating to the poverty guideline and cost sharing for certain recipients of medical assistance; having the short title of the 'No Child Left Uninsured Act'; and providing for an effective date.",AK,26th Legislature,bill_data\AK\2009-2010_26th_Legislature\bill\HB118.json,1,2009-02-06,https://www.legis.state.ak.us/PDF/26/Bills/HB0118B.PDF
