,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
107396,95500,HB1001,HB1001,Renewable Energy Stds Solar Certif,Renewable Energy Stds Solar Certif,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1001.json,4,2010-03-22,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/47C157B801F26204872576AA00697A3F/$FILE/1001_enr.pdf
107397,95501,HB1002,HB1002,Priority Of TABOR Refund Methods,Priority Of TABOR Refund Methods,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1002.json,4,2010-04-05,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/5E9DAAA8F3AA5B4D872576A80027B91E/$FILE/1002_enr.pdf
107398,95502,HB1003,HB1003,State Personnel Bd Appeal Deadline,State Personnel Bd Appeal Deadline,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1003.json,4,2010-04-05,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/BC63CA7FD1FC6294872576A80027F798/$FILE/1003_enr.pdf
107399,95503,HB1004,HB1004,Standardized Health Ins Information,Standardized Health Ins Information,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1004.json,4,2010-04-20,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/96E8FFB786B4AF96872576A800283821/$FILE/1004_enr.pdf
107400,95504,HB1005,HB1005,Home Health Care,Home Health Care,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1005.json,4,2010-06-07,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/3F24B90F9C022E75872576A80027DD4B/$FILE/1005_enr.pdf
107401,95505,HB1006,HB1006,Fund Water Resources Tier 1 Operational,Fund Water Resources Tier 1 Operational,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1006.json,1,2010-01-13,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/F7B95F724E925A2B872576A80027EA9E/$FILE/1006ag_01.pdf
107402,95506,HB1007,HB1007,County Clerk & Recorder Filing Fees,County Clerk & Recorder Filing Fees,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1007.json,4,2010-04-05,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/77634D9001A3AEF7872576A80027B3AB/$FILE/1007_enr.pdf
107403,95507,HB1008,HB1008,No Gender Individual Health Ins Rates,No Gender Individual Health Ins Rates,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1008.json,4,2010-03-29,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/79579FABBEFD4A59872576A800281193/$FILE/1008_enr.pdf
107404,95508,HB1009,HB1009,Pinnacol Assurance Board Of Directors,Pinnacol Assurance Board Of Directors,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1009.json,4,2010-05-26,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/61FAD52512CEA621872576A800281E66/$FILE/1009_enr.pdf
107405,95509,HB1010,HB1010,Expand Public-private Initiatives,Expand Public-private Initiatives,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1010.json,4,2010-04-15,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/972E8E258E371BB8872576A800282B35/$FILE/1010_enr.pdf
107406,95510,HB1011,HB1011,DOR Employee Criminal History Check,DOR Employee Criminal History Check,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1011.json,4,2010-04-15,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/7CBB18AB44F0930A872576A80026AE1F/$FILE/1011_enr.pdf
107407,95511,HB1012,HB1012,Limit Surveillance Workers' Comp Claims,Limit Surveillance Workers' Comp Claims,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1012.json,2,2010-03-11,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/55D00DAD99CA71F3872576A80026AE00/$FILE/1012_ren.pdf
107408,95512,HB1013,HB1013,Modifications To School Finance Admin,Modifications To School Finance Admin,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1013.json,4,2010-06-10,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/9680CFDB4509BE9D872576A800285E7A/$FILE/1013_enr.pdf
107409,95513,HB1014,HB1014,Highway Work Zone Accident Reporting,Highway Work Zone Accident Reporting,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1014.json,4,2010-03-18,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/2123F71FCEA1B281872576A800286B53/$FILE/1014_enr.pdf
107410,95514,HB1015,HB1015,Stable Funding For Small Sch Districts,Stable Funding For Small Sch Districts,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1015.json,1,2010-01-13,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/BB074CBB8187317C872576A800287818/$FILE/1015_01.pdf
107411,95515,HB1016,HB1016,FPPA Retired Bd Member Term Extension,FPPA Retired Bd Member Term Extension,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1016.json,4,2010-04-05,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/A1CD6D0819E778D0872576A8002884E9/$FILE/1016_enr.pdf
107412,95516,HB1017,HB1017,Vol Agrmnt Affecting Rent Pvt Res Prop,Vol Agrmnt Affecting Rent Pvt Res Prop,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1017.json,4,2010-05-06,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/9BBA6B3653BC17CB872576A800289E82/$FILE/1017_enr.pdf
107413,95517,HB1018,HB1018,Reduce Waste Tire Stockpile Risks,Reduce Waste Tire Stockpile Risks,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1018.json,4,2010-06-10,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/7784B05BFFF2A17A872576A80026AF6B/$FILE/1018_enr.pdf
107414,95518,HB1019,HB1019,Reserved Disabled Parking Enforcement,Reserved Disabled Parking Enforcement,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1019.json,4,2010-06-10,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/5E531A9E4E87034C872576A80026AE3D/$FILE/1019_enr.pdf
107415,95519,HB1020,HB1020,Legislative Department Contracts,Legislative Department Contracts,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1020.json,4,2010-04-15,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/821926C660500F72872576A80026BDB9/$FILE/1020_enr.pdf
107416,95520,HB1021,HB1021,Required Coverage Reproductive Services,Required Coverage Reproductive Services,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1021.json,4,2010-05-26,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/A28E94F66888D69A872576A8002891B3/$FILE/1021_enr.pdf
107417,95521,HB1022,HB1022,Suppl Nutrition Assistance Prog Admin,Suppl Nutrition Assistance Prog Admin,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1022.json,4,2010-06-10,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/6F3E967B381A6FAD872576A80026B050/$FILE/1022_enr.pdf
107418,95522,HB1023,HB1023,Employer Liability Negligent Hiring,Employer Liability Negligent Hiring,CO,2010 Regular Session,bill_data\CO\2010-2010_Regular_Session\bill\HB1023.json,4,2010-03-29,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/33D8A2927B432FBA872576A80026AFC2/$FILE/1023_enr.pdf
