,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
807243,179622,HB1,HB1,Feed bill for legislative session,Feed bill for legislative session,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB1.json,4,2009-01-15,
807244,179631,HB10,HB10,Long range information technology funding bill,Long range information technology funding bill,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB10.json,4,2009-05-05,
807245,179721,HB100,HB100,Revise composition of mint committee,Revise composition of mint committee,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB100.json,4,2009-03-17,
807246,179722,HB101,HB101,Extend deadlines related to wage withholding in cases of theft,Extend deadlines related to wage withholding in cases of theft,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB101.json,4,2009-03-20,
807247,179723,HB102,HB102,Increase penalties for second and subsequent sexual assault,Increase penalties for second and subsequent sexual assault,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB102.json,6,2009-04-28,
807248,179724,HB103,HB103,Revise tow truck insurance reporting provisions,Revise tow truck insurance reporting provisions,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB103.json,4,2009-04-16,
807249,179725,HB104,HB104,Revise source of funding for pay for state active duty for firefighting,Revise source of funding for pay for state active duty for firefighting,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB104.json,4,2009-04-15,
807250,179726,HB105,HB105,Reporting of emergency room and hospitalization discharge data,Reporting of emergency room and hospitalization discharge data,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB105.json,6,2009-04-28,
807251,179727,HB106,HB106,Revise law on delayed or amended birth certificates,Revise law on delayed or amended birth certificates,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB106.json,4,2009-04-02,
807252,179728,HB107,HB107,Revise definition of enterprise funds,Revise definition of enterprise funds,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB107.json,4,2009-04-16,
807253,179729,HB108,HB108,Revise deposit of restitution payments,Revise deposit of restitution payments,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB108.json,4,2009-04-28,
807254,179730,HB109,HB109,Generally revise retirement statutes,Generally revise retirement statutes,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB109.json,4,2009-04-17,
807255,179632,HB11,HB11,Treasure state endowment appropriations,Treasure state endowment appropriations,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB11.json,4,2009-05-06,
807256,179731,HB110,HB110,Revise law for acquisition of state office space,Revise law for acquisition of state office space,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB110.json,4,2009-04-28,
807257,179732,HB111,HB111,Clarify roles of local advisory groups in mental health system,Clarify roles of local advisory groups in mental health system,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB111.json,6,2009-04-28,
807258,179733,HB112,HB112,Amend threshold for Legislative Finance review of budget change documents,Amend threshold for Legislative Finance review of budget change documents,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB112.json,4,2009-04-16,
807259,179734,HB113,HB113,Revise taxation of new or expanded business enterprise property,Revise taxation of new or expanded business enterprise property,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB113.json,6,2009-04-28,
807260,179735,HB114,HB114,Clarify licensure and liability in public health emergencies,Clarify licensure and liability in public health emergencies,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB114.json,4,2009-03-25,
807261,179736,HB115,HB115,Expand cell phone property tax incentives,Expand cell phone property tax incentives,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB115.json,6,2009-04-28,
807262,179737,HB116,HB116,Clarify proof of insurance for motor vehicles,Clarify proof of insurance for motor vehicles,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB116.json,4,2009-04-15,
807263,179738,HB117,HB117,Revise procedure for review of administrative rules,Revise procedure for review of administrative rules,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB117.json,6,2009-04-28,
807264,179739,HB118,HB118,Revise distribution of 911 funds,Revise distribution of 911 funds,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB118.json,4,2009-04-01,
807265,179740,HB119,HB119,"Revise employment laws, including workers compensation","Revise employment laws, including workers compensation",MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB119.json,4,2009-04-01,
807266,179633,HB12,HB12,Require employer contributions on working retirees under certain conditions,Require employer contributions on working retirees under certain conditions,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB12.json,6,2009-04-28,
807267,179741,HB120,HB120,Allow use of electronic bid bonds for highway projects,Allow use of electronic bid bonds for highway projects,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB120.json,4,2009-03-23,
807268,179742,HB121,HB121,Revise military statutes for changes in Uniform Code of Military Justice,Revise military statutes for changes in Uniform Code of Military Justice,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB121.json,4,2009-03-23,
807269,179743,HB122,HB122,Revise false claims act,Revise false claims act,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB122.json,4,2009-03-25,
807270,179744,HB123,HB123,Extend coal trust funded econ dev programs--reduce statutory approps,Extend coal trust funded econ dev programs--reduce statutory approps,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB123.json,4,2009-05-06,
807271,179745,HB124,HB124,Reopen GABA enrollment for firefighters,Reopen GABA enrollment for firefighters,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB124.json,6,2009-04-28,
807272,179746,HB125,HB125,Amend law to delete reference to single state registration system,Amend law to delete reference to single state registration system,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB125.json,4,2009-03-17,
807273,179747,HB126,HB126,Authorize Dept of Admin to determine workers' comp policy for all state agencies,Authorize Dept of Admin to determine workers' comp policy for all state agencies,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB126.json,4,2009-03-17,
807274,179748,HB127,HB127,Provide for proceeds from military sales,Provide for proceeds from military sales,MT,2009 Regular Session,bill_data\MT\2009-2009_Regular_Session\bill\HB127.json,4,2009-04-16,
