Unnamed: 0,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1589501,1778559,HCR67,HCR67,"Supporting the designation of the week of September 17 through September 23, 2023, as ""National Fall Prevention Awareness Week"" to raise awareness about, and encourage the prevention of, falls among older adults.","Supporting the designation of the week of September 17 through September 23, 2023, as ""National Fall Prevention Awareness Week"" to raise awareness about, and encourage the prevention of, falls among older adults.",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR67.json,1,2023-09-21,https://www.congress.gov/118/bills/hconres67/BILLS-118hconres67ih.pdf
1589502,1778845,HCR68,HCR68,"Expressing support for the recognition of September 26, 2023, as ""World Contraception Day"" and expressing the sense of the House of Representatives regarding global and domestic access to contraception.","Expressing support for the recognition of September 26, 2023, as ""World Contraception Day"" and expressing the sense of the House of Representatives regarding global and domestic access to contraception.",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR68.json,1,2023-09-26,https://www.congress.gov/118/bills/hconres68/BILLS-118hconres68ih.pdf
1589503,1778979,HCR69,HCR69,Recognizing the 10th anniversary of the USA Rice-Ducks Unlimited Rice Stewardship Partnership.,Recognizing the 10th anniversary of the USA Rice-Ducks Unlimited Rice Stewardship Partnership.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR69.json,1,2023-09-27,https://www.congress.gov/118/bills/hconres69/BILLS-118hconres69ih.pdf
1589504,1651145,HCR7,HCR7,Condemning the Iranian regime's human rights abuses  against the brave women and men of Iran peacefully demonstrating in more than 133 cities.,"Commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 133 cities and risking their safety to speak out against the Iranian regime's human rights abuses.",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR7.json,2,2023-01-26,https://www.congress.gov/118/bills/hconres7/BILLS-118hconres7eh.pdf
1589505,1779281,HCR70,HCR70,"Expressing support for designation of the first Friday of October as ""Manufacturing Day"".","Expressing support for designation of the first Friday of October as ""Manufacturing Day"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR70.json,1,2023-09-29,https://www.congress.gov/118/bills/hconres70/BILLS-118hconres70ih.pdf
1589506,1779603,HCR71,HCR71,Expressing the sense of Congress to encourage full participation of Taiwan in the Asia-Pacific Economic Cooperation forum.,Expressing the sense of Congress to encourage full participation of Taiwan in the Asia-Pacific Economic Cooperation forum.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR71.json,1,2023-10-03,
1589507,1779846,HCR72,HCR72,Recognizing the significance of equal pay and the disparity in wages paid to Latina women in comparison to men.,Recognizing the significance of equal pay and the disparity in wages paid to Latina women in comparison to men.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR72.json,1,2023-10-06,
1589508,1779851,HCR73,HCR73,"Condemning the Cuban regime and the Chinese Communist Party for their reported intent to build a joint military training base on the island of Cuba, 100 miles from the United States.","Condemning the Cuban regime and the Chinese Communist Party for their reported intent to build a joint military training base on the island of Cuba, 100 miles from the United States.",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR73.json,1,2023-10-06,
1589509,1656729,HCR8,HCR8,Establishing the Task Force on the Legislative Process.,Establishing the Task Force on the Legislative Process.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR8.json,1,2023-01-11,https://www.congress.gov/118/bills/hconres8/BILLS-118hconres8ih.pdf
1589510,1681762,HCR9,HCR9,Denouncing the horrors of socialism.,Denouncing the horrors of socialism.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HCR9.json,2,2023-02-07,https://www.congress.gov/118/bills/hconres9/BILLS-118hconres9eh.pdf
1589511,1650950,HJR1,HJR1,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR1.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres1/BILLS-118hjres1ih.pdf
1589512,1651081,HJR10,HJR10,Proposing an amendment to the Constitution of the United States to provide certain line item veto authority to the President.,Proposing an amendment to the Constitution of the United States to provide certain line item veto authority to the President.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR10.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres10/BILLS-118hjres10ih.pdf
1589513,1650492,HJR11,HJR11,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR11.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres11/BILLS-118hjres11ih.pdf
1589514,1650752,HJR12,HJR12,Proposing a balanced budget amendment to the Constitution of the United States.,Proposing a balanced budget amendment to the Constitution of the United States.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR12.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres12/BILLS-118hjres12ih.pdf
1589515,1650832,HJR13,HJR13,Proposing an amendment to the Constitution of the United States relating to the authority of Congress and the States to regulate contributions and expenditures intended to affect elections and to enact public financing systems for political campaigns.,Proposing an amendment to the Constitution of the United States relating to the authority of Congress and the States to regulate contributions and expenditures intended to affect elections and to enact public financing systems for political campaigns.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR13.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres13/BILLS-118hjres13ih.pdf
1589516,1653219,HJR14,HJR14,"Amending title 36, United States Code, to direct the President to issue an annual proclamation establishing Democracy Day.","Amending title 36, United States Code, to direct the President to issue an annual proclamation establishing Democracy Day.",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR14.json,1,2023-01-10,https://www.congress.gov/118/bills/hjres14/BILLS-118hjres14ih.pdf
1589517,1656052,HJR15,HJR15,Proposing a balanced budget amendment to the Constitution of the United States.,Proposing a balanced budget amendment to the Constitution of the United States.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR15.json,1,2023-01-11,https://www.congress.gov/118/bills/hjres15/BILLS-118hjres15ih.pdf
