,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1593999,415776,HJR201,HJR201,Joint Resolution Approving Acceptance of Federal Education Funds,Joint Resolution Approving Acceptance of Federal Education Funds,UT,2010 2nd Special Session,bill_data\UT\2010-2010_2nd_Special_Session\bill\HJR201.json,3,2010-11-18,http://le.utah.gov/~2010S2/bills/hbillenr/hjr201.pdf
1594000,415733,SJR201,SJR201,Joint Rules Resolution - Appropriations Subcommittee Amendments,Joint Rules Resolution - Appropriations Subcommittee Amendments,UT,2010 2nd Special Session,bill_data\UT\2010-2010_2nd_Special_Session\bill\SJR201.json,3,2010-11-18,http://le.utah.gov/~2010S2/bills/sbillenr/sjr201.pdf
1594001,181558,HB0001,HB0001,Minimum School Program Base Budget,Minimum School Program Base Budget,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0001.json,0,,http://le.utah.gov/~2010/bills/hbillint/hb0001.pdf
1594002,181559,HB0002,HB0002,Fiscal Year 2010 and Fiscal Year 2011 Supplemental Appropriations,Fiscal Year 2010 and Fiscal Year 2011 Supplemental Appropriations,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0002.json,2,2010-03-09,http://le.utah.gov/~2010/bills/hbillenr/hb0002.pdf
1594003,181560,HB0003,HB0003,Appropriations Adjustments,Appropriations Adjustments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0003.json,3,2010-03-16,http://le.utah.gov/~2010/bills/hbillenr/hb0003.pdf
1594004,181561,HB0004,HB0004,Current School Year Supplemental Minimum School Program Budget Adjustments,Current School Year Supplemental Minimum School Program Budget Adjustments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0004.json,4,2010-02-26,http://le.utah.gov/~2010/bills/hbillenr/hb0004.pdf
1594005,181562,HB0005,HB0005,Revenue Bond and Capital Facilities Authorizations,Revenue Bond and Capital Facilities Authorizations,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0005.json,0,,http://le.utah.gov/~2010/bills/hbillint/hb0005.pdf
1594006,181563,HB0006,HB0006,State Agency Compensation Appropriations,State Agency Compensation Appropriations,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0006.json,4,2010-03-31,http://le.utah.gov/~2010/bills/hbillenr/hb0006.pdf
1594007,181564,HB0010,HB0010,Court Fees for Inmates,Court Fees for Inmates,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0010.json,4,2010-03-26,http://le.utah.gov/~2010/bills/hbillenr/hb0010.pdf
1594008,181565,HB0011,HB0011,Licensing of Elevator Contractors and Elevator Mechanics,Licensing of Elevator Contractors and Elevator Mechanics,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0011.json,2,2010-02-02,http://le.utah.gov/~2010/bills/hbillenr/hb0011.pdf
1594009,181566,HB0012,HB0012,Criminal Homicide and Abortion Amendments,Criminal Homicide and Abortion Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0012.json,5,2010-03-08,http://le.utah.gov/~2010/bills/hbillenr/hb0012.pdf
1594010,181567,HB0013,HB0013,Drug Law Definitions - Amendments,Drug Law Definitions - Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0013.json,0,,http://le.utah.gov/~2010/bills/hbillint/hb0013.pdf
1594011,181568,HB0014,HB0014,Juvenile Transfers from Justice Court,Juvenile Transfers from Justice Court,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0014.json,4,2010-03-22,http://le.utah.gov/~2010/bills/hbillenr/hb0014.pdf
1594012,181569,HB0015,HB0015,Deferred Deposit Lending Amendments,Deferred Deposit Lending Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0015.json,2,2010-01-27,http://le.utah.gov/~2010/bills/hbillenr/hb0015.pdf
1594013,181570,HB0016,HB0016,Parent-time Amendments,Parent-time Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0016.json,2,2010-03-10,http://le.utah.gov/~2010/bills/hbillenr/hb0016.pdf
1594014,181571,HB0017,HB0017,Amendments to Programs for People with Disabilities,Amendments to Programs for People with Disabilities,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0017.json,2,2010-02-01,http://le.utah.gov/~2010/bills/hbillenr/hb0017.pdf
1594015,181572,HB0018,HB0018,Unemployment Insurance Amendments,Unemployment Insurance Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0018.json,4,2010-03-29,http://le.utah.gov/~2010/bills/hbillenr/hb0018.pdf
1594016,181573,HB0019,HB0019,Post Conviction Remedies Amendments,Post Conviction Remedies Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0019.json,2,2010-02-03,http://le.utah.gov/~2010/bills/hbillenr/hb0019.pdf
1594017,181574,HB0020,HB0020,Amendments to Health Insurance Coverage in State Contracts,Amendments to Health Insurance Coverage in State Contracts,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0020.json,1,2010-02-05,http://le.utah.gov/~2010/bills/hbillamd/hb0020.pdf
1594018,181575,HB0021,HB0021,Expungement Revisions,Expungement Revisions,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0021.json,4,2010-03-29,http://le.utah.gov/~2010/bills/hbillenr/hb0021.pdf
1594019,181576,HB0022,HB0022,Inmate Health Insurance Amendments,Inmate Health Insurance Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0022.json,1,2010-01-25,http://le.utah.gov/~2010/bills/hbillamd/hb0022.pdf
1594020,181577,HB0023,HB0023,Workplace Drug and Alcohol Testing,Workplace Drug and Alcohol Testing,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0023.json,2,2010-02-18,http://le.utah.gov/~2010/bills/hbillenr/hb0023.pdf
1594021,181578,HB0024,HB0024,Economic Development Incentives Act Amendments,Economic Development Incentives Act Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0024.json,4,2010-03-23,http://le.utah.gov/~2010/bills/hbillenr/hb0024.pdf
1594022,181579,HB0025,HB0025,Health Reform - Administrative Simplification,Health Reform - Administrative Simplification,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0025.json,4,2010-03-29,http://le.utah.gov/~2010/bills/hbillenr/hb0025.pdf
1594023,181580,HB0026,HB0026,Brine Shrimp Royalty Act Amendments,Brine Shrimp Royalty Act Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0026.json,4,2010-03-23,http://le.utah.gov/~2010/bills/hbillenr/hb0026.pdf
1594024,181581,HB0027,HB0027,Per Diem and Travel Expense Modifications,Per Diem and Travel Expense Modifications,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0027.json,4,2010-03-29,http://le.utah.gov/~2010/bills/hbillenr/hb0027.pdf
1594025,181582,HB0028,HB0028,Controlled Substance Database Amendments,Controlled Substance Database Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0028.json,2,2010-01-27,http://le.utah.gov/~2010/bills/hbillenr/hb0028.pdf
1594026,181583,HB0029,HB0029,School District Division Amendments,School District Division Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0029.json,4,2010-03-26,http://le.utah.gov/~2010/bills/hbillenr/hb0029.pdf
1594027,181584,HB0030,HB0030,Drug Law Amendments,Drug Law Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0030.json,4,2010-03-23,http://le.utah.gov/~2010/bills/hbillenr/hb0030.pdf
1594028,181585,HB0031,HB0031,"Wildlife Licenses, Certificates, or Permit Amendments","Wildlife Licenses, Certificates, or Permit Amendments",UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0031.json,2,2010-02-05,http://le.utah.gov/~2010/bills/hbillenr/hb0031.pdf
1594029,181586,HB0032,HB0032,Livestock Damage Compensation Amendments,Livestock Damage Compensation Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0032.json,4,2010-03-29,http://le.utah.gov/~2010/bills/hbillenr/hb0032.pdf
1594030,181587,HB0033,HB0033,Groundwater Recharge and Recovery Act Amendments,Groundwater Recharge and Recovery Act Amendments,UT,2010 General Session,bill_data\UT\2010-2010_Regular_Session\bill\HB0033.json,2,2010-01-28,http://le.utah.gov/~2010/bills/hbillenr/hb0033.pdf
